label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C6,36.0800848,140.0800572,0,112.413303,2,2,0,0,1,331.204212688158,-324.974989472243,330.311002389524,-323.199763607857,53.2075925085834,1.98727237870687
C6-C5_1,36.0800847,140.0800575,0,112.413303,2,2,0,0,1,331.231202028891,-324.986121421452,330.301854873725,-323.24344840982,53.1621088084333,1.97499249626086
C6-C5_2,36.0800847,140.0800575,0,309.518671,2,2,0,0,1,331.231202028891,-324.986121421452,330.34896707347,-323.274430777104,53.1741615337878,1.9256747852415
C6-C5_3,36.0800865,140.0800548,0,1.827253,2,2,0,0,1,330.988297949511,-324.785746338056,330.036353213948,-322.850655117422,53.2450159004166,2.15656597667242
C6-C5_4,36.0801245,140.0800563,0,3.885302,2,2,0,0,1,331.123244660846,-320.555605688309,330.547691832106,-318.820896201707,53.061712878865,1.8276974753979
C6-C5_5,36.0801602,140.0800593,0,3.416281,2,2,0,0,1,331.393138083515,-316.581499866423,330.881883056345,-314.772685297386,52.880146366268,1.87967865550647
C6-C5_6,36.0801954,140.0800619,0,1.493405,2,2,0,0,1,331.62704571854,-312.663053790585,331.235847462789,-310.782117157463,52.7400595274101,1.92118679287666
C6-C5_7,36.0802326,140.0800631,0,0.000000,2,2,0,0,1,331.735003086585,-308.521968733723,331.452558552433,-306.680741985717,52.486760295653,1.86276430405059
C6-C5_8,36.0802701,140.0800631,0,357.658441,2,2,0,0,1,331.735003086585,-304.347487828441,331.541250761923,-302.565244359615,52.1951738014701,1.79274419410175
C6-C5_9,36.0803037,140.0800614,0,355.510912,2,2,0,0,1,331.582063481429,-300.60715293758,331.626940123362,-298.562065547357,52.2595673421124,2.04557970918765
C6-C5_10,36.0803387,140.080058,0,347.220283,2,2,0,0,1,331.276184266002,-296.710970760161,331.215536772087,-294.539860663154,51.9652715095652,2.17195699125113
C6-C5_11,36.0803754,140.0800477,0,339.516649,2,2,0,0,1,330.349550180483,-292.625545447764,330.402568206251,-290.618842493974,51.5448805108718,2.00740321206364
C6-C5_12,36.0804098,140.0800318,0,335.274834,2,2,0,0,1,328.919115037268,-288.79615496481,329.071158297503,-286.811131722071,51.1935743220299,1.99083761949447
C6-C5_13,36.0804442,140.0800122,0,325.556747,2,2,0,0,1,327.155811337895,-284.966764481856,327.382846002543,-283.162621296819,50.6808134266037,1.81837217616968
C6-C5_14,36.0804726,140.0799881,0,329.124426,2,2,0,0,1,324.98766750196,-281.805290942766,325.01577487897,-279.860248977726,50.2306136232214,1.94524504122468
C6-C5_15,36.0805045,140.0799645,0,326.040061,2,2,0,0,1,322.864505905695,-278.254199186884,323.145264790628,-276.304853095573,49.9631458770845,1.96946077269387
C5,36.0805273,140.0799455,0,326.040061,2,2,0,0,1,321.155180890344,-275.716114796403,321.438735074984,-273.925276749419,49.5158641836225,1.81314750810695
