label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C102,36.081955,140.081072,0,237.205793,28370.922511,44491.427583,-222.576035,0.000000000,0.000000000,-0.959328247,0.282292960,0,0,0,0,0
C102-C7_1,36.08192986666667,140.08102373333332,0,237.205801,28366.584211,44488.624919,-222.537146,0.000000000,0.000000000,-0.959328266,0.282292893,0,0,0,0,0
C102-C7_2,36.08190473333333,140.08097546666667,0,237.205810,28362.245909,44485.822257,-222.498262,0.000000000,0.000000000,-0.959328289,0.282292818,0,0,0,0,0
C102-C7_3,36.0818796,140.0809272,0,237.205818,28357.907604,44483.019597,-222.459382,0.000000000,0.000000000,-0.959328308,0.282292751,0,0,0,0,0
C102-C7_4,36.08185446666667,140.08087893333334,0,237.205826,28353.569296,44480.216939,-222.420506,0.000000000,0.000000000,-0.959328328,0.282292684,0,0,0,0,0
C102-C7_5,36.08182933333333,140.08083066666666,0,237.205835,28349.230985,44477.414283,-222.381635,0.000000000,0.000000000,-0.959328350,0.282292608,0,0,0,0,0
C102-C7_6,36.0818042,140.0807824,0,237.205843,28344.892671,44474.611629,-222.342767,0.000000000,0.000000000,-0.959328370,0.282292541,0,0,0,0,0
C102-C7_7,36.08177906666667,140.08073413333332,0,237.205851,28340.554355,44471.808977,-222.303904,0.000000000,0.000000000,-0.959328390,0.282292474,0,0,0,0,0
C102-C7_8,36.08175393333333,140.08068586666667,0,237.205860,28336.216035,44469.006328,-222.265045,0.000000000,0.000000000,-0.959328412,0.282292399,0,0,0,0,0
C102-C7_9,36.0817288,140.0806376,0,237.205868,28331.877713,44466.203681,-222.226190,0.000000000,0.000000000,-0.959328431,0.282292332,0,0,0,0,0
C102-C7_10,36.08170366666667,140.08058933333334,0,237.205877,28327.539389,44463.401035,-222.187340,0.000000000,0.000000000,-0.959328454,0.282292257,0,0,0,0,0
C102-C7_11,36.08167853333333,140.08054106666665,0,237.205885,28323.201061,44460.598392,-222.148493,0.000000000,0.000000000,-0.959328473,0.282292190,0,0,0,0,0
C102-C7_12,36.0816534,140.0804928,0,237.205893,28318.862731,44457.795751,-222.109651,0.000000000,0.000000000,-0.959328493,0.282292123,0,0,0,0,0
C102-C7_13,36.08162826666667,140.08044453333332,0,237.205902,28314.524397,44454.993113,-222.070813,0.000000000,0.000000000,-0.959328515,0.282292047,0,0,0,0,0
C102-C7_14,36.08160313333333,140.08039626666667,0,237.205910,28310.186061,44452.190476,-222.031979,0.000000000,0.000000000,-0.959328535,0.282291980,0,0,0,0,0
C7,36.081578,140.080348,0,237.205910,28305.847723,44449.387841,-221.993149,0.000000000,0.000000000,-0.959328535,0.282291980,0,0,0,0,0
