label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C102,36.081955,140.081072,0,246.099918,28370.922511,44491.427583,-222.576035,0.000000000,0.000000000,-0.978328517,0.207058717,0,0,0,0,0
C102-C4_1,36.08193675,140.08102104166667,0,246.099922,28366.339303,44489.387897,-222.541398,0.000000000,0.000000000,-0.978328524,0.207058683,0,0,0,0,0
C102-C4_2,36.0819185,140.08097008333334,0,246.099927,28361.756093,44487.348214,-222.506765,0.000000000,0.000000000,-0.978328534,0.207058640,0,0,0,0,0
C102-C4_3,36.081900250000004,140.080919125,0,246.099932,28357.172881,44485.308532,-222.472136,0.000000000,0.000000000,-0.978328543,0.207058598,0,0,0,0,0
C102-C4_4,36.081882,140.08086816666668,0,246.099937,28352.589667,44483.268853,-222.437511,0.000000000,0.000000000,-0.978328552,0.207058555,0,0,0,0,0
C102-C4_5,36.08186375,140.08081720833334,0,246.099942,28348.006450,44481.229177,-222.402890,0.000000000,0.000000000,-0.978328561,0.207058512,0,0,0,0,0
C102-C4_6,36.0818455,140.08076625,0,246.099947,28343.423232,44479.189503,-222.368273,0.000000000,0.000000000,-0.978328570,0.207058469,0,0,0,0,0
C102-C4_7,36.08182725,140.08071529166668,0,246.099952,28338.840011,44477.149831,-222.333660,0.000000000,0.000000000,-0.978328579,0.207058427,0,0,0,0,0
C102-C4_8,36.081809,140.08066433333335,0,246.099957,28334.256788,44475.110162,-222.299051,0.000000000,0.000000000,-0.978328588,0.207058384,0,0,0,0,0
C102-C4_9,36.081790749999996,140.080613375,0,246.099962,28329.673563,44473.070494,-222.264445,0.000000000,0.000000000,-0.978328597,0.207058341,0,0,0,0,0
C102-C4_10,36.0817725,140.08056241666668,0,246.099967,28325.090336,44471.030830,-222.229844,0.000000000,0.000000000,-0.978328606,0.207058299,0,0,0,0,0
C102-C4_11,36.08175425,140.08051145833335,0,246.099972,28320.507107,44468.991168,-222.195247,0.000000000,0.000000000,-0.978328615,0.207058256,0,0,0,0,0
C102-C4_12,36.081736,140.08046050000002,0,246.099977,28315.923875,44466.951508,-222.160653,0.000000000,0.000000000,-0.978328624,0.207058213,0,0,0,0,0
C102-C4_13,36.08171775,140.08040954166665,0,246.099982,28311.340642,44464.911850,-222.126064,0.000000000,0.000000000,-0.978328633,0.207058171,0,0,0,0,0
C102-C4_14,36.0816995,140.08035858333332,0,246.099986,28306.757406,44462.872195,-222.091479,0.000000000,0.000000000,-0.978328640,0.207058136,0,0,0,0,0
C102-C4_15,36.08168125,140.080307625,0,246.099991,28302.174168,44460.832542,-222.056897,0.000000000,0.000000000,-0.978328649,0.207058094,0,0,0,0,0
C102-C4_16,36.081663,140.08025666666666,0,246.099996,28297.590928,44458.792892,-222.022319,0.000000000,0.000000000,-0.978328658,0.207058051,0,0,0,0,0
C102-C4_17,36.081644749999995,140.08020570833332,0,246.100001,28293.007686,44456.753244,-221.987746,0.000000000,0.000000000,-0.978328667,0.207058008,0,0,0,0,0
C102-C4_18,36.0816265,140.08015475,0,246.100006,28288.424441,44454.713598,-221.953176,0.000000000,0.000000000,-0.978328676,0.207057966,0,0,0,0,0
C102-C4_19,36.08160825,140.08010379166666,0,246.100011,28283.841195,44452.673955,-221.918610,0.000000000,0.000000000,-0.978328685,0.207057923,0,0,0,0,0
C102-C4_20,36.08159,140.08005283333333,0,246.100016,28279.257946,44450.634314,-221.884049,0.000000000,0.000000000,-0.978328694,0.207057880,0,0,0,0,0
C102-C4_21,36.081571749999995,140.080001875,0,246.100021,28274.674695,44448.594675,-221.849491,0.000000000,0.000000000,-0.978328703,0.207057838,0,0,0,0,0
C102-C4_22,36.0815535,140.07995091666666,0,246.100026,28270.091442,44446.555039,-221.814937,0.000000000,0.000000000,-0.978328712,0.207057795,0,0,0,0,0
C102-C4_23,36.08153525,140.07989995833333,0,246.100031,28265.508187,44444.515405,-221.780387,0.000000000,0.000000000,-0.978328721,0.207057752,0,0,0,0,0
C4,36.081517,140.079849,0,246.100031,28260.924930,44442.475774,-221.745841,0.000000000,0.000000000,-0.978328721,0.207057752,0,0,0,0,0
